Date,Adj Close,Close,High,Low,Open,Volume
2012-02-14 00:00:00,,,,,,
2012-02-15 00:00:00,,,,,,
2012-02-16 00:00:00,,,,,,
2012-02-17 00:00:00,,,,,,
2012-02-21 00:00:00,,,,,,
2012-02-22 00:00:00,,,,,,
2012-02-23 00:00:00,,,,,,
2012-02-24 00:00:00,,,,,,
2012-02-27 00:00:00,,,,,,
2012-02-28 00:00:00,,,,,,
2012-02-29 00:00:00,,,,,,
2012-03-01 00:00:00,,,,,,
2012-03-02 00:00:00,,,,,,
2012-03-05 00:00:00,,,,,,
2012-03-06 00:00:00,,,,,,
2012-03-07 00:00:00,,,,,,
2012-03-08 00:00:00,,,,,,
2012-03-09 00:00:00,,,,,,
2012-03-12 00:00:00,,,,,,
2012-03-13 00:00:00,,,,,,
2012-03-14 00:00:00,,,,,,
2012-03-15 00:00:00,,,,,,
2012-03-16 00:00:00,,,,,,
2012-03-19 00:00:00,,,,,,
2012-03-20 00:00:00,,,,,,
2012-03-21 00:00:00,,,,,,
2012-03-22 00:00:00,,,,,,
2012-03-23 00:00:00,,,,,,
2012-03-26 00:00:00,,,,,,
2012-03-27 00:00:00,,,,,,
2012-03-28 00:00:00,,,,,,
2012-03-29 00:00:00,,,,,,
2012-03-30 00:00:00,,,,,,
2012-04-02 00:00:00,,,,,,
2012-04-03 00:00:00,,,,,,
2012-04-04 00:00:00,,,,,,
2012-04-05 00:00:00,,,,,,
2012-04-09 00:00:00,,,,,,
2012-04-10 00:00:00,,,,,,
2012-04-11 00:00:00,,,,,,
2012-04-12 00:00:00,,,,,,
2012-04-13 00:00:00,,,,,,
2012-04-16 00:00:00,,,,,,
2012-04-17 00:00:00,,,,,,
2012-04-18 00:00:00,,,,,,
2012-04-19 00:00:00,,,,,,
2012-04-20 00:00:00,,,,,,
2012-04-23 00:00:00,,,,,,
2012-04-24 00:00:00,,,,,,
2012-04-25 00:00:00,,,,,,
2012-04-26 00:00:00,,,,,,
2012-04-27 00:00:00,,,,,,
2012-04-30 00:00:00,,,,,,
2012-05-01 00:00:00,,,,,,
2012-05-02 00:00:00,,,,,,
2012-05-03 00:00:00,,,,,,
2012-05-04 00:00:00,,,,,,
2012-05-07 00:00:00,,,,,,
2012-05-08 00:00:00,,,,,,
2012-05-09 00:00:00,,,,,,
2012-05-10 00:00:00,,,,,,
2012-05-11 00:00:00,,,,,,
2012-05-14 00:00:00,,,,,,
2012-05-15 00:00:00,,,,,,
2012-05-16 00:00:00,,,,,,
2012-05-17 00:00:00,,,,,,
2012-05-18 00:00:00,,,,,,
2012-05-21 00:00:00,,,,,,
2012-05-22 00:00:00,,,,,,
2012-05-23 00:00:00,,,,,,
2012-05-24 00:00:00,,,,,,
2012-05-25 00:00:00,,,,,,
2012-05-29 00:00:00,,,,,,
2012-05-30 00:00:00,,,,,,
2012-05-31 00:00:00,,,,,,
2012-06-01 00:00:00,,,,,,
2012-06-04 00:00:00,,,,,,
2012-06-05 00:00:00,,,,,,
2012-06-06 00:00:00,,,,,,
2012-06-07 00:00:00,,,,,,
2012-06-08 00:00:00,,,,,,
2012-06-11 00:00:00,,,,,,
2012-06-12 00:00:00,,,,,,
2012-06-13 00:00:00,,,,,,
2012-06-14 00:00:00,,,,,,
2012-06-15 00:00:00,,,,,,
2012-06-18 00:00:00,,,,,,
2012-06-19 00:00:00,,,,,,
2012-06-20 00:00:00,,,,,,
2012-06-21 00:00:00,,,,,,
2012-06-22 00:00:00,,,,,,
2012-06-25 00:00:00,,,,,,
2012-06-26 00:00:00,,,,,,
2012-06-27 00:00:00,,,,,,
2012-06-28 00:00:00,,,,,,
2012-06-29 00:00:00,,,,,,
2012-07-02 00:00:00,,,,,,
2012-07-03 00:00:00,,,,,,
2012-07-05 00:00:00,,,,,,
2012-07-06 00:00:00,,,,,,
2012-07-09 00:00:00,,,,,,
2012-07-10 00:00:00,,,,,,
2012-07-11 00:00:00,,,,,,
2012-07-12 00:00:00,,,,,,
2012-07-13 00:00:00,,,,,,
2012-07-16 00:00:00,,,,,,
2012-07-17 00:00:00,,,,,,
2012-07-18 00:00:00,,,,,,
2012-07-19 00:00:00,,,,,,
2012-07-20 00:00:00,,,,,,
2012-07-23 00:00:00,,,,,,
2012-07-24 00:00:00,,,,,,
2012-07-25 00:00:00,,,,,,
2012-07-26 00:00:00,,,,,,
2012-07-27 00:00:00,,,,,,
2012-07-30 00:00:00,,,,,,
2012-07-31 00:00:00,,,,,,
2012-08-01 00:00:00,,,,,,
2012-08-02 00:00:00,,,,,,
2012-08-03 00:00:00,,,,,,
2012-08-06 00:00:00,,,,,,
2012-08-07 00:00:00,,,,,,
2012-08-08 00:00:00,,,,,,
2012-08-09 00:00:00,,,,,,
2012-08-10 00:00:00,,,,,,
2012-08-13 00:00:00,,,,,,
2012-08-14 00:00:00,,,,,,
2012-08-15 00:00:00,,,,,,
2012-08-16 00:00:00,,,,,,
2012-08-17 00:00:00,,,,,,
2012-08-20 00:00:00,,,,,,
2012-08-21 00:00:00,,,,,,
2012-08-22 00:00:00,,,,,,
2012-08-23 00:00:00,,,,,,
2012-08-24 00:00:00,,,,,,
2012-08-27 00:00:00,,,,,,
2012-08-28 00:00:00,,,,,,
2012-08-29 00:00:00,,,,,,
2012-08-30 00:00:00,,,,,,
2012-08-31 00:00:00,,,,,,
2012-09-04 00:00:00,,,,,,
2012-09-05 00:00:00,,,,,,
2012-09-06 00:00:00,,,,,,
2012-09-07 00:00:00,,,,,,
2012-09-10 00:00:00,,,,,,
2012-09-11 00:00:00,,,,,,
2012-09-12 00:00:00,,,,,,
2012-09-13 00:00:00,,,,,,
2012-09-14 00:00:00,,,,,,
2012-09-17 00:00:00,,,,,,
2012-09-18 00:00:00,,,,,,
2012-09-19 00:00:00,,,,,,
2012-09-20 00:00:00,,,,,,
2012-09-21 00:00:00,,,,,,
2012-09-24 00:00:00,,,,,,
2012-09-25 00:00:00,,,,,,
2012-09-26 00:00:00,,,,,,
2012-09-27 00:00:00,,,,,,
2012-09-28 00:00:00,,,,,,
2012-10-01 00:00:00,,,,,,
2012-10-02 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-03 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-04 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-05 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-08 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-09 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-10 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-11 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-12 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-15 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-16 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-17 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-18 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-19 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-22 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-23 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-24 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-25 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-26 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-10-29 00:00:00,,,,,,
2012-10-31 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-01 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-02 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-05 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-06 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-07 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-08 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-09 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-12 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-13 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-14 00:00:00,3.25,3.25,3.25,3.25,3.25,0.0
2012-11-15 00:00:00,3.25,3.25,3.25,3.25,3.25,100.0
2012-11-16 00:00:00,2.75,2.75,2.75,2.75,2.75,100.0
2012-11-19 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-20 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-21 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-23 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-26 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-27 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-28 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-29 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-11-30 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-12-03 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-12-04 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-12-05 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-12-06 00:00:00,2.75,2.75,2.75,2.75,2.75,0.0
2012-12-07 00:00:00,1.5,1.5,1.5,1.5,1.5,200.0
2012-12-10 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-11 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-12 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-13 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-14 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-17 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-18 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-19 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-20 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-21 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-24 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
2012-12-26 00:00:00,1.5,1.5,1.5,1.5,1.5,0.0
